"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"284","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","449","Found 'DD'-anomaly for variable 'str' (lines '449'-'490').","Controversial Rules","DataflowAnomalyAnalysis"
"285","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","449","Found 'DD'-anomaly for variable 'str' (lines '449'-'493').","Controversial Rules","DataflowAnomalyAnalysis"
"286","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","449","Found 'DD'-anomaly for variable 'str' (lines '449'-'496').","Controversial Rules","DataflowAnomalyAnalysis"
"287","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","449","Found 'DD'-anomaly for variable 'str' (lines '449'-'499').","Controversial Rules","DataflowAnomalyAnalysis"
"288","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","449","Found 'DD'-anomaly for variable 'str' (lines '449'-'502').","Controversial Rules","DataflowAnomalyAnalysis"
"289","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","449","Found 'DD'-anomaly for variable 'str' (lines '449'-'505').","Controversial Rules","DataflowAnomalyAnalysis"
"290","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","449","Found 'DD'-anomaly for variable 'str' (lines '449'-'508').","Controversial Rules","DataflowAnomalyAnalysis"
"291","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","3","451","Avoid calling toString() on String objects; this is unnecessary.","String and StringBuffer Rules","StringToString"
"292","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","1","517","Method names should not start with capital letters","Naming Rules","MethodNamingConventions"
"293","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","518","Found 'DD'-anomaly for variable 'str' (lines '518'-'523').","Controversial Rules","DataflowAnomalyAnalysis"
"294","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","518","Found 'DD'-anomaly for variable 'str' (lines '518'-'526').","Controversial Rules","DataflowAnomalyAnalysis"
"295","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","518","Found 'DD'-anomaly for variable 'str' (lines '518'-'529').","Controversial Rules","DataflowAnomalyAnalysis"
"296","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","518","Found 'DD'-anomaly for variable 'str' (lines '518'-'532').","Controversial Rules","DataflowAnomalyAnalysis"
"297","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","3","520","Avoid calling toString() on String objects; this is unnecessary.","String and StringBuffer Rules","StringToString"
"298","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","3","529","The String literal 'failed' appears 8 times in this file; the first occurrence is on line 529","String and StringBuffer Rules","AvoidDuplicateLiterals"
"299","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","1","541","Method names should not start with capital letters","Naming Rules","MethodNamingConventions"
"300","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","542","Found 'DD'-anomaly for variable 'str' (lines '542'-'547').","Controversial Rules","DataflowAnomalyAnalysis"
"301","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","542","Found 'DD'-anomaly for variable 'str' (lines '542'-'550').","Controversial Rules","DataflowAnomalyAnalysis"
"302","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","542","Found 'DD'-anomaly for variable 'str' (lines '542'-'553').","Controversial Rules","DataflowAnomalyAnalysis"
"303","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","542","Found 'DD'-anomaly for variable 'str' (lines '542'-'556').","Controversial Rules","DataflowAnomalyAnalysis"
"304","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","1","565","Method names should not start with capital letters","Naming Rules","MethodNamingConventions"
"305","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","566","Found 'DD'-anomaly for variable 'str' (lines '566'-'571').","Controversial Rules","DataflowAnomalyAnalysis"
"306","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","566","Found 'DD'-anomaly for variable 'str' (lines '566'-'574').","Controversial Rules","DataflowAnomalyAnalysis"
"307","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","566","Found 'DD'-anomaly for variable 'str' (lines '566'-'577').","Controversial Rules","DataflowAnomalyAnalysis"
"308","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","566","Found 'DD'-anomaly for variable 'str' (lines '566'-'580').","Controversial Rules","DataflowAnomalyAnalysis"
"309","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","566","Found 'DD'-anomaly for variable 'str' (lines '566'-'583').","Controversial Rules","DataflowAnomalyAnalysis"
"310","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","566","Found 'DD'-anomaly for variable 'str' (lines '566'-'586').","Controversial Rules","DataflowAnomalyAnalysis"
"311","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","566","Found 'DD'-anomaly for variable 'str' (lines '566'-'589').","Controversial Rules","DataflowAnomalyAnalysis"
"312","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","1","598","Method names should not start with capital letters","Naming Rules","MethodNamingConventions"
"313","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","599","Found 'DD'-anomaly for variable 'str' (lines '599'-'604').","Controversial Rules","DataflowAnomalyAnalysis"
"314","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","599","Found 'DD'-anomaly for variable 'str' (lines '599'-'607').","Controversial Rules","DataflowAnomalyAnalysis"
"315","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","599","Found 'DD'-anomaly for variable 'str' (lines '599'-'610').","Controversial Rules","DataflowAnomalyAnalysis"
"316","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","599","Found 'DD'-anomaly for variable 'str' (lines '599'-'613').","Controversial Rules","DataflowAnomalyAnalysis"
"317","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","599","Found 'DD'-anomaly for variable 'str' (lines '599'-'616').","Controversial Rules","DataflowAnomalyAnalysis"
"318","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","626","Found 'DD'-anomaly for variable 'str' (lines '626'-'631').","Controversial Rules","DataflowAnomalyAnalysis"
"319","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","626","Found 'DD'-anomaly for variable 'str' (lines '626'-'634').","Controversial Rules","DataflowAnomalyAnalysis"
"320","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","626","Found 'DD'-anomaly for variable 'str' (lines '626'-'637').","Controversial Rules","DataflowAnomalyAnalysis"
"321","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","626","Found 'DD'-anomaly for variable 'str' (lines '626'-'640').","Controversial Rules","DataflowAnomalyAnalysis"
"322","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","626","Found 'DD'-anomaly for variable 'str' (lines '626'-'643').","Controversial Rules","DataflowAnomalyAnalysis"
"323","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","626","Found 'DD'-anomaly for variable 'str' (lines '626'-'646').","Controversial Rules","DataflowAnomalyAnalysis"
"324","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","626","Found 'DD'-anomaly for variable 'str' (lines '626'-'649').","Controversial Rules","DataflowAnomalyAnalysis"
"325","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","626","Found 'DD'-anomaly for variable 'str' (lines '626'-'652').","Controversial Rules","DataflowAnomalyAnalysis"
"326","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","626","Found 'DD'-anomaly for variable 'str' (lines '626'-'655').","Controversial Rules","DataflowAnomalyAnalysis"
"327","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","626","Found 'DD'-anomaly for variable 'str' (lines '626'-'658').","Controversial Rules","DataflowAnomalyAnalysis"
"328","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","626","Found 'DD'-anomaly for variable 'str' (lines '626'-'661').","Controversial Rules","DataflowAnomalyAnalysis"
"329","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","626","Found 'DD'-anomaly for variable 'str' (lines '626'-'664').","Controversial Rules","DataflowAnomalyAnalysis"
"330","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","626","Found 'DD'-anomaly for variable 'str' (lines '626'-'667').","Controversial Rules","DataflowAnomalyAnalysis"
"331","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","626","Found 'DD'-anomaly for variable 'str' (lines '626'-'670').","Controversial Rules","DataflowAnomalyAnalysis"
"332","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","680","Found 'DD'-anomaly for variable 'str' (lines '680'-'685').","Controversial Rules","DataflowAnomalyAnalysis"
"333","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","680","Found 'DD'-anomaly for variable 'str' (lines '680'-'688').","Controversial Rules","DataflowAnomalyAnalysis"
"334","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","680","Found 'DD'-anomaly for variable 'str' (lines '680'-'691').","Controversial Rules","DataflowAnomalyAnalysis"
"335","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","680","Found 'DD'-anomaly for variable 'str' (lines '680'-'694').","Controversial Rules","DataflowAnomalyAnalysis"
"336","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","680","Found 'DD'-anomaly for variable 'str' (lines '680'-'697').","Controversial Rules","DataflowAnomalyAnalysis"
"337","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","680","Found 'DD'-anomaly for variable 'str' (lines '680'-'700').","Controversial Rules","DataflowAnomalyAnalysis"
"338","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","680","Found 'DD'-anomaly for variable 'str' (lines '680'-'703').","Controversial Rules","DataflowAnomalyAnalysis"
"339","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","680","Found 'DD'-anomaly for variable 'str' (lines '680'-'706').","Controversial Rules","DataflowAnomalyAnalysis"
"340","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","5","680","Found 'DD'-anomaly for variable 'str' (lines '680'-'709').","Controversial Rules","DataflowAnomalyAnalysis"
"341","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","3","776","Avoid unused local variables such as 'cpqstr'.","Unused Code Rules","UnusedLocalVariable"
"342","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","3","842","Avoid unused local variables such as 'cpqstr'.","Unused Code Rules","UnusedLocalVariable"
"343","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","3","894","Avoid unused local variables such as 'cpqstr'.","Unused Code Rules","UnusedLocalVariable"
"344","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","3","918","Avoid unused local variables such as 'cpqstr'.","Unused Code Rules","UnusedLocalVariable"
"345","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","3","969","Avoid unused local variables such as 'cpqstr'.","Unused Code Rules","UnusedLocalVariable"
"346","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","3","1020","Avoid excessively long variable names like cpqSm2CntlrSelfTestErrorsResult","Naming Rules","LongVariable"
"347","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","3","1021","Avoid excessively long variable names like cpqSm2CntlrSelfTestErrorValue","Naming Rules","LongVariable"
"348","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","3","1023","Avoid excessively long variable names like tempcpqSm2CntlrSelfTestErrorValue","Naming Rules","LongVariable"
"349","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/BroadSoftHandler.java","3","1036","Avoid concatenating nonliterals in a StringBuffer constructor or append().","String and StringBuffer Rules","InefficientStringBuffering"
"350","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/EventNotification.java","3","16","Avoid excessively long variable names like additionalAttributes","Naming Rules","LongVariable"
"351","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/EventNotification.java","3","16","Consider replacing this Hashtable with the newer java.util.Map","Migration Rules","ReplaceHashtableWithMap"
"352","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/EventNotification.java","3","16","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"353","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/EventNotification.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"354","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/EventNotification.java","3","32","Avoid excessively long variable names like managedObjectInstance","Naming Rules","LongVariable"
"355","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/EventNotification.java","3","48","Parameter 'sourceType' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"356","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/EventNotification.java","3","58","Parameter 'translateResult' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"357","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/EventNotification.java","3","72","Parameter 'eventType' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"358","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/EventNotification.java","3","84","Parameter 'probableCause' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"359","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/EventNotification.java","3","96","Parameter 'Severity' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"360","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/EventNotification.java","3","169","Avoid excessively long variable names like managedObjectInstance","Naming Rules","LongVariable"
"361","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/EventNotification.java","3","187","Consider replacing this Hashtable with the newer java.util.Map","Migration Rules","ReplaceHashtableWithMap"
"362","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","6","The class 'HandleAlarmSeverity' has a Cyclomatic Complexity of 8 (Highest = 17).","Code Size Rules","CyclomaticComplexity"
"363","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","8","The String literal 'INDETERMINATE' appears 64 times in this file; the first occurrence is on line 8","String and StringBuffer Rules","AvoidDuplicateLiterals"
"364","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","12","Avoid excessively long variable names like axdperceivedSeverity","Naming Rules","LongVariable"
"365","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","12","Parameter 'axdperceivedSeverity' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"366","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","13","Parameter 'attributename' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"367","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","13","Parameter 'attributevalue' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"368","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","14","Found 'DD'-anomaly for variable 'axd301FaultIdSev' (lines '14'-'22').","Controversial Rules","DataflowAnomalyAnalysis"
"369","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","17","Local variable 'sevOIDLen' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"370","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","20","Local variable 'axdSevToken' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"371","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","23","String.indexOf(char) is faster than String.indexOf(String).","String and StringBuffer Rules","UseIndexOfChar"
"372","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","28","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"373","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","34","Parameter 'attributevalue' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"374","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","35","Avoid excessively long variable names like esasnfPerceivedSeverity","Naming Rules","LongVariable"
"375","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","35","Found 'DD'-anomaly for variable 'esasnfPerceivedSeverity' (lines '35'-'38').","Controversial Rules","DataflowAnomalyAnalysis"
"376","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","35","Found 'DD'-anomaly for variable 'esasnfPerceivedSeverity' (lines '35'-'41').","Controversial Rules","DataflowAnomalyAnalysis"
"377","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","35","Found 'DD'-anomaly for variable 'esasnfPerceivedSeverity' (lines '35'-'44').","Controversial Rules","DataflowAnomalyAnalysis"
"378","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","35","Found 'DD'-anomaly for variable 'esasnfPerceivedSeverity' (lines '35'-'47').","Controversial Rules","DataflowAnomalyAnalysis"
"379","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","35","Found 'DD'-anomaly for variable 'esasnfPerceivedSeverity' (lines '35'-'50').","Controversial Rules","DataflowAnomalyAnalysis"
"380","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","35","Found 'DD'-anomaly for variable 'esasnfPerceivedSeverity' (lines '35'-'53').","Controversial Rules","DataflowAnomalyAnalysis"
"381","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","36","Avoid calling toString() on String objects; this is unnecessary.","String and StringBuffer Rules","StringToString"
"382","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","38","The String literal 'WARNING' appears 22 times in this file; the first occurrence is on line 38","String and StringBuffer Rules","AvoidDuplicateLiterals"
"383","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","41","The String literal 'MINOR' appears 21 times in this file; the first occurrence is on line 41","String and StringBuffer Rules","AvoidDuplicateLiterals"
"384","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","44","The String literal 'MAJOR' appears 21 times in this file; the first occurrence is on line 44","String and StringBuffer Rules","AvoidDuplicateLiterals"
"385","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","47","The String literal 'CRITICAL' appears 20 times in this file; the first occurrence is on line 47","String and StringBuffer Rules","AvoidDuplicateLiterals"
"386","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","60","Parameter 'attributevalue' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"387","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","61","Avoid excessively long variable names like segwPerceivedSeverity","Naming Rules","LongVariable"
"388","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","61","Found 'DD'-anomaly for variable 'segwPerceivedSeverity' (lines '61'-'64').","Controversial Rules","DataflowAnomalyAnalysis"
"389","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","61","Found 'DD'-anomaly for variable 'segwPerceivedSeverity' (lines '61'-'67').","Controversial Rules","DataflowAnomalyAnalysis"
"390","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","61","Found 'DD'-anomaly for variable 'segwPerceivedSeverity' (lines '61'-'70').","Controversial Rules","DataflowAnomalyAnalysis"
"391","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","61","Found 'DD'-anomaly for variable 'segwPerceivedSeverity' (lines '61'-'73').","Controversial Rules","DataflowAnomalyAnalysis"
"392","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","61","Found 'DD'-anomaly for variable 'segwPerceivedSeverity' (lines '61'-'76').","Controversial Rules","DataflowAnomalyAnalysis"
"393","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","61","Found 'DD'-anomaly for variable 'segwPerceivedSeverity' (lines '61'-'79').","Controversial Rules","DataflowAnomalyAnalysis"
"394","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","61","Found 'DD'-anomaly for variable 'segwPerceivedSeverity' (lines '61'-'82').","Controversial Rules","DataflowAnomalyAnalysis"
"395","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","61","Found 'DD'-anomaly for variable 'segwPerceivedSeverity' (lines '61'-'85').","Controversial Rules","DataflowAnomalyAnalysis"
"396","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","62","Avoid calling toString() on String objects; this is unnecessary.","String and StringBuffer Rules","StringToString"
"397","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","95","Found 'DD'-anomaly for variable 'funkSbrTrapVarSev' (lines '95'-'101').","Controversial Rules","DataflowAnomalyAnalysis"
"398","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","95","Found 'DD'-anomaly for variable 'funkSbrTrapVarSev' (lines '95'-'104').","Controversial Rules","DataflowAnomalyAnalysis"
"399","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","95","Found 'DD'-anomaly for variable 'funkSbrTrapVarSev' (lines '95'-'107').","Controversial Rules","DataflowAnomalyAnalysis"
"400","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","95","Found 'DD'-anomaly for variable 'funkSbrTrapVarSev' (lines '95'-'110').","Controversial Rules","DataflowAnomalyAnalysis"
"401","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","95","Found 'DD'-anomaly for variable 'funkSbrTrapVarSev' (lines '95'-'98').","Controversial Rules","DataflowAnomalyAnalysis"
"402","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","96","Avoid calling toString() on String objects; this is unnecessary.","String and StringBuffer Rules","StringToString"
"403","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","117","The method 'getocmpoperceivedSeverity' has a Cyclomatic Complexity of 17.","Code Size Rules","CyclomaticComplexity"
